,fullyLoaded,bytesIn,requests,bytes.html,requests.html,bytes.js,requests.js,bytes.css,requests.css,bytes.image,requests.image,bytes.font,requests.font,bytes.video,requests.video,bytes.other,requests.other,id
751,21815.0,852088.0,118.0,214601.0,36.0,501055.0,29.0,66909.0,14.0,31334.0,22.0,24620.0,1.0,0.0,0.0,13569.0,16.0,221010_M2_V5
752,44789.0,9689947.0,399.0,315820.0,234.0,1929215.0,34.0,133187.0,10.0,6738416.0,91.0,489016.0,12.0,0.0,0.0,83143.0,17.0,221010_JK_V6
753,11017.0,730540.0,47.0,5371.0,1.0,172241.0,7.0,21718.0,7.0,242630.0,23.0,222672.0,5.0,0.0,0.0,65908.0,4.0,221010_35_V7
754,44899.0,3714451.0,539.0,424133.0,95.0,1947650.0,85.0,68671.0,16.0,297939.0,176.0,50319.0,4.0,833731.0,1.0,90805.0,159.0,221010_DX_V8
755,16320.0,2268375.0,118.0,43261.0,4.0,959344.0,34.0,44911.0,10.0,1192653.0,61.0,24384.0,2.0,0.0,0.0,2672.0,6.0,221010_D0_V9
756,21312.0,8905724.0,107.0,695146.0,2.0,1113508.0,12.0,668863.0,1.0,5958300.0,81.0,467224.0,4.0,0.0,0.0,2683.0,7.0,221010_9H_VA
757,9553.0,467233.0,108.0,13652.0,3.0,221841.0,6.0,7913.0,1.0,213804.0,93.0,0.0,0.0,0.0,0.0,2665.0,4.0,221010_AG_VB
758,64290.0,9574843.0,394.0,152539.0,54.0,1530878.0,43.0,42550.0,12.0,4810258.0,195.0,91836.0,5.0,2923964.0,6.0,21412.0,76.0,221010_F8_VC
759,24180.0,4631058.0,77.0,30163.0,3.0,570424.0,24.0,198418.0,18.0,3647942.0,18.0,179972.0,3.0,0.0,1.0,2901.0,8.0,221010_2Y_VE
760,11861.0,628172.0,64.0,18496.0,2.0,360740.0,6.0,21855.0,2.0,115065.0,35.0,53024.0,3.0,0.0,0.0,26004.0,15.0,221010_7T_VF
761,10951.0,587437.0,54.0,24233.0,4.0,278360.0,18.0,38430.0,11.0,94850.0,10.0,148624.0,6.0,0.0,0.0,2940.0,5.0,221010_SQ_VJ
762,4846.0,2601.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,1.0,221010_95_VM
763,26779.0,10693432.0,237.0,62447.0,6.0,1115035.0,52.0,36008.0,7.0,657306.0,111.0,749252.0,5.0,8027724.0,16.0,45660.0,38.0,221010_X3_VN
764,74965.0,7705302.0,376.0,747350.0,44.0,2499628.0,67.0,10051.0,13.0,869116.0,140.0,671808.0,18.0,815920.0,2.0,2091429.0,92.0,221010_E5_VP
765,41712.0,7985707.0,239.0,1894586.0,44.0,3533368.0,41.0,527122.0,15.0,1802829.0,83.0,183160.0,8.0,0.0,0.0,44642.0,48.0,221010_18_VR
766,33418.0,10455955.0,158.0,86696.0,7.0,3668596.0,55.0,722331.0,35.0,3572572.0,31.0,333588.0,9.0,2038366.0,1.0,33806.0,20.0,221010_Y2_VS
767,18984.0,1927795.0,55.0,6023.0,2.0,1011591.0,17.0,207012.0,6.0,226197.0,24.0,473634.0,4.0,0.0,0.0,3338.0,2.0,221010_1C_VT
768,14784.0,1559252.0,74.0,25891.0,2.0,307884.0,16.0,53394.0,3.0,1034957.0,36.0,95808.0,4.0,0.0,0.0,37465.0,12.0,221010_Y0_VV
769,32271.0,1930870.0,72.0,26398.0,5.0,188801.0,22.0,93735.0,3.0,1542024.0,35.0,77160.0,1.0,0.0,0.0,2752.0,6.0,221010_M4_VW
770,9847.0,864463.0,40.0,32046.0,2.0,486017.0,15.0,19381.0,3.0,226914.0,12.0,96884.0,2.0,0.0,0.0,3221.0,6.0,221010_7B_VX
771,1983.0,18941.0,3.0,8325.0,1.0,0.0,0.0,2604.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221010_8P_VY
772,9623.0,767620.0,65.0,25404.0,5.0,326815.0,11.0,45812.0,2.0,164717.0,31.0,194612.0,12.0,0.0,0.0,2611.0,3.0,221010_2S_VZ
773,13761.0,990772.0,78.0,13929.0,1.0,657525.0,40.0,71418.0,17.0,228358.0,7.0,0.0,0.0,0.0,0.0,4136.0,12.0,221010_94_W0
774,17774.0,1406368.0,112.0,52537.0,25.0,1084509.0,25.0,121011.0,4.0,81709.0,45.0,39372.0,1.0,0.0,0.0,25771.0,11.0,221010_02_W1
775,17918.0,2681717.0,52.0,73852.0,3.0,277391.0,19.0,124541.0,4.0,1859963.0,15.0,332108.0,4.0,0.0,0.0,13862.0,7.0,221010_QN_W2
776,14843.0,1245889.0,233.0,17935.0,6.0,742366.0,20.0,31862.0,4.0,206976.0,187.0,119188.0,4.0,0.0,0.0,127562.0,12.0,221010_9H_W3
777,13832.0,4714865.0,53.0,16164.0,1.0,1276942.0,20.0,1103378.0,12.0,1936798.0,10.0,363860.0,7.0,0.0,0.0,2637.0,2.0,221010_CM_W4
778,36207.0,6609623.0,217.0,157289.0,13.0,3184224.0,52.0,667738.0,35.0,2275445.0,61.0,196228.0,7.0,0.0,0.0,128626.0,46.0,221010_N0_Y9
779,15489.0,333238.0,40.0,25349.0,9.0,273053.0,11.0,13004.0,1.0,8335.0,13.0,0.0,0.0,0.0,0.0,13497.0,6.0,221010_SD_YA
780,35455.0,1734790.0,182.0,81014.0,9.0,1070075.0,53.0,8390.0,3.0,428026.0,55.0,124064.0,4.0,0.0,0.0,23221.0,58.0,221010_D3_YB
781,29427.0,7872563.0,70.0,23849.0,3.0,422520.0,10.0,1990.0,3.0,7368454.0,42.0,51704.0,6.0,0.0,0.0,2640.0,5.0,221010_WQ_YC
782,72251.0,24571648.0,136.0,16057.0,1.0,507016.0,19.0,10410.0,5.0,23913964.0,67.0,32752.0,1.0,0.0,0.0,91449.0,27.0,221010_87_YD
783,25388.0,2978179.0,102.0,14832.0,24.0,889477.0,22.0,37662.0,4.0,1725482.0,29.0,239664.0,1.0,0.0,0.0,71062.0,22.0,221010_S2_YE
784,29295.0,6785574.0,190.0,484046.0,5.0,2077973.0,68.0,1363348.0,39.0,2064890.0,54.0,786852.0,8.0,0.0,0.0,8465.0,8.0,221010_2E_YF
785,120075.0,623937.0,159.0,142874.0,116.0,341559.0,12.0,3742.0,3.0,127794.0,23.0,0.0,0.0,0.0,0.0,3682.0,4.0,221010_2G_YG
786,5876.0,785832.0,59.0,4292.0,1.0,190068.0,20.0,49655.0,12.0,485171.0,19.0,52964.0,3.0,0.0,0.0,3040.0,3.0,221010_WG_YH
787,25242.0,11021849.0,97.0,49509.0,4.0,744630.0,26.0,58107.0,4.0,9999292.0,41.0,164888.0,7.0,0.0,0.0,4093.0,14.0,221010_PR_YK
788,20512.0,3217792.0,158.0,62523.0,12.0,973007.0,32.0,72999.0,2.0,2034195.0,92.0,40148.0,1.0,0.0,0.0,34920.0,19.0,221010_HW_YM
789,20993.0,6203387.0,157.0,20112.0,2.0,2263562.0,56.0,1395836.0,46.0,2246715.0,35.0,263456.0,9.0,0.0,0.0,13706.0,9.0,221010_MG_YN
790,20909.0,1135577.0,101.0,132905.0,20.0,641507.0,42.0,80550.0,5.0,153494.0,12.0,113694.0,10.0,0.0,0.0,13427.0,12.0,221010_NP_YP
791,17825.0,1198202.0,114.0,27833.0,2.0,355136.0,7.0,67214.0,1.0,681495.0,96.0,63808.0,4.0,0.0,0.0,2716.0,4.0,221010_19_YQ
792,26283.0,2599407.0,70.0,33313.0,2.0,457081.0,13.0,17584.0,4.0,2086028.0,44.0,0.0,0.0,0.0,0.0,2656.0,6.0,221010_3Y_YR
